,title,imdb_score,genres,actors,directors
41,Steel Magnolias,7.3,"['comedy', 'drama', 'romance']","['Sally Field', 'Dolly Parton', 'Shirley MacLaine', 'Daryl Hannah', 'Olympia Dukakis', 'Julia Roberts', 'Tom Skerritt', 'Sam Shepard', 'Dylan McDermott', ""Kevin J. O'Connor"", 'Bill McCutcheon', 'Ann Wedgeworth', 'Knowl Johnson', 'Jonathan Ward', 'Bibi Besch', 'Janine Turner', 'James Wlcek', 'Ronald Young', 'Nancy Parsons', 'Robert Ginnaven', 'Tom Hodges', 'Rick Hurst', 'Robert Harling', 'Clara Gabrielle', 'Daniel Camp', 'Lori Tate', 'Robert Adams', 'Carol Sutton', 'Aja Sansone', 'Rodney Alan Fulton', 'Spencer Henderson', 'Sandra Asbury-Johnson', 'Gale J. Odom', 'Betsy Widhalm', 'Oscar J. Bienvenu Jr.', 'Teresa Beaudion', 'Gladys Mallard', 'Betty J. Dove', 'Travis Harrison', 'James Shapkoff III', 'Walker May', 'Robert R. Morgan', 'Roger D. McCann', 'Debbie McCann', 'Trent Dawson']",['Herbert Ross']
42,Police Academy,6.7,"['crime', 'comedy']","['Steve Guttenberg', 'Kim Cattrall', 'G.W. Bailey', 'Bubba Smith', 'Donovan Scott', 'George Gaynes', 'Andrew Rubin', 'David Graf', 'Leslie Easterbrook', 'Michael Winslow', 'Debralee Scott', 'Bruce Mahler', 'Ted Ross', 'Scott Thomson', 'Brant von Hoffman', 'Marion Ramsey', 'Roger Dunn', 'Joyce Gordon', 'Georgina Spelvin', 'Hugh Wilson', 'T.J. Scott', 'John Sampson', 'Dar Robinson', 'Kay Hawtrey', 'John Hawkes', 'Charles W. Gray', 'Suzanne Barker', 'Dwayne McLean', 'Danny Lima', 'Danny Pawlick', 'Bob Collins', 'Gene Mack', 'Gino Marrocco', 'David Clement', 'J. Winston Carroll', 'Wally Bondarenko', 'F. Braun McAsh', 'Marco Bianco', 'Fred Brigham', 'James Bearden', 'Gary Farmer', 'Barry Greene', 'Araby Lockhart', 'Beth Amos', 'Bruce McFee', 'Michael J. Reynolds', 'Don Lake', 'George R. Robertson', 'Doug Lennox', 'Wink Roberts']",['Hugh Wilson']
43,Christine,6.7,"['horror', 'thriller', 'european']","['Keith Gordon', 'John Stockwell', 'Alexandra Paul', 'Robert Prosky', 'Harry Dean Stanton', 'Christine Belford', 'Roberts Blossom', 'William Ostrander', 'David Spielberg', 'Malcolm Danare', 'Steven Tash', 'Stuart Charno', 'Kelly Preston', 'Marc Poppel', 'Robert Darnell', 'Douglas Warhit', 'Richard Collier', 'Bruce French', 'Keri Montgomery', 'Jan Burrell', 'Charles Steak', 'Art Evans', 'John Richard Petersen']",['John Carpenter']
44,Knight Rider,6.9,"['scifi', 'action', 'crime', 'drama']","['David Hasselhoff', 'Edward Mulhare', 'William Daniels', 'Patricia McPherson', 'Peter Parros']",
45,Thomas & Friends,6.5,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music']",['Rachael Louise Miller'],
46,Saved by the Bell,7.1,"['family', 'comedy', 'romance']","['Mark-Paul Gosselaar', 'Mario López', 'Dustin Diamond', 'Lark Voorhies', 'Dennis Haskins']",
47,Awakenings,7.8,"['drama', 'european']","['Robert De Niro', 'Robin Williams', 'John Heard', 'Julie Kavner', 'Penelope Ann Miller', 'Ruth Nelson', 'Max von Sydow', 'Anne Meara', 'Dexter Gordon', 'George Martin', 'Alice Drummond', 'Richard Libertini', 'Laura Esterman', 'Barton Heyman', 'Judith Malina', 'Mary Alice', 'Keith Diamond', 'Bradley Whitford', 'John Christopher Jones', 'Mary Catherine Wright', 'Jayne Haynes', 'Le Clanché du Rand', 'Yusef Bulos', 'Steven Randazzo', 'Gloria Harper', 'Gwyllum Evans', 'Steve Vinovich', 'Tiger Haynes', 'Harvey Miller', 'Tanya Berezin', 'Peter Stormare', 'Shane Fistell', 'Waheedah Ahmad', 'Charles Keating', 'Christina Huertes', 'Linda Burns', 'Judy Jacksina', 'Gary Tacon', 'Rico Elias', 'Mel Gorham', 'Chris Carolan', 'Debra Kovner-Zaks', 'Vin Diesel', 'Max Rabinowitz', 'Byron Utley', 'Anthony McGowen', 'Paul Montgomery', 'Leonard Tepper', 'Vincent Pastore', 'Howard Feller', 'Libby Titus', 'Michael Hyde', 'Tomislav Novakovic', 'Adam Bryant', 'Anthony J. Nici', 'Oliver Block', 'Buck Smith', 'Joan E. MacIntosh', 'Harry L. Seddon', 'Jack Mulcahy']",['Penny Marshall']
48,Wheel of Fortune,6.7,['family'],"['Vanna White', 'Pat Sajak']",
49,National Lampoon's Christmas Vacation,7.5,"['comedy', 'european']","['Chevy Chase', ""Beverly D'Angelo"", 'Juliette Lewis', 'Johnny Galecki', 'John Randolph', 'Diane Ladd', 'E.G. Marshall', 'Doris Roberts', 'Randy Quaid', 'Miriam Flynn', 'Cody Burger', 'Ellen Hamilton Latzen', 'William Hickey', 'Mae Questel', 'Sam McMurray', 'Nicholas Guest', 'Julia Louis-Dreyfus', 'Nicolette Scorsese', 'Keith MacKechnie', 'Brian Doyle-Murray', 'Natalija Nogulich', 'Tony Epper', 'Billy Hank Hooker', 'Alexander Folk', 'Jeremy Roberts', 'Woody Weaver', 'Michael Kaufman', 'Devin Bailey', 'Frank Foti Jr.', 'Traci Kochendorfer']",['Jeremiah S. Chechik']
50,Lean On Me,7.4,['drama'],"['Morgan Freeman', 'Beverly Todd', 'Robert Guillaume', 'Ethan Phillips', 'Lynne Thigpen', 'Michael Beach', 'Tony Todd', 'Karen Malina White', 'Alan North', 'Robin Bartlett', 'Sandra Reaves-Phillips', 'Sloane Shelton', 'Jermaine Hopkins', 'Karina Arroyave', 'Ivonne Coll', 'Regina Taylor', 'Michael P. Moran', 'John Ring', 'Mike Starr', 'Michael Imperioli', 'Jennifer McComb', 'Delilah Cotto', 'Anthony Figueroa', 'Jim Moody']",['John G. Avildsen']
