title,country,release_year,rating,duration,description,year_added,month_added,year_month_added,imdb_score,genres,actors,directors
Angry Birds,Finland,2018,TV-Y7,1 Season,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",2021,September,"September, 2021",,,,
Birth of the Dragon,"China, Canada, United States",2017,PG-13,96 min,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",2021,September,"September, 2021",5.6,"['drama', 'action']","['Philip Ng', 'Billy Magnussen', 'Xia Yu', 'Ron Yuan', 'Darren E. Scott', 'King Lau', 'Yee Jee Tso', 'Teresa Navarro', 'Vanessa Ross', 'Christina July Kim', 'Terry Chen', 'Wu Yue', 'Lillian Lim', 'John Lobato', 'Ed Moy', 'Jeff Mosley']",['George Nolfi']
Chhota Bheem,India,2021,TV-Y7,3 Seasons,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",2021,September,"September, 2021",4.1,"['animation', 'action', 'comedy']","['Sonal Kaushal', 'Pinky Rajput', 'Julie Tejwani', 'Rajesh Kava', 'Shailey Dubey', 'Vatsal Dubey', 'Rupa Bhimani', 'Jigna Bhardwaj', 'Sabina Malik Mausam']",['Rajiv Chilaka']
He-Man and the Masters of the Universe,United States,2021,TV-Y7,1 Season,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,2021,September,"September, 2021",5.8,"['animation', 'action', 'comedy', 'drama', 'family', 'fantasy', 'scifi']",['Yuri Lowenthal'],
Jaws,United States,1975,PG,124 min,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",2021,September,"September, 2021",,,,
Jaws 2,United States,1978,PG,116 min,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",2021,September,"September, 2021",,,,
Jaws 3,United States,1983,PG,98 min,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",2021,September,"September, 2021",,,,
Jaws: The Revenge,United States,1987,PG-13,91 min,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",2021,September,"September, 2021",,,,
My Heroes Were Cowboys,,2021,PG,23 min,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",2021,September,"September, 2021",,,,
Safe House,"South Africa, United States, Japan",2012,R,115 min,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,2021,September,"September, 2021",,,,
The Smart Money Woman,,2020,TV-MA,1 Season,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",2021,September,"September, 2021",6.2,['drama'],,
Training Day,United States,2001,R,122 min,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,2021,September,"September, 2021",,,,
Castle and Castle,Nigeria,2021,TV-MA,2 Seasons,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",2021,September,"September, 2021",,,,
Dharmakshetra,India,2014,TV-PG,1 Season,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",2021,September,"September, 2021",8.3,['drama'],,
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Japan,2002,TV-14,99 min,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",2021,September,"September, 2021",,,,
InuYasha the Movie 3: Swords of an Honorable Ruler,Japan,2003,TV-14,99 min,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,2021,September,"September, 2021",,,,
InuYasha the Movie 4: Fire on the Mystic Island,Japan,2004,TV-PG,88 min,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",2021,September,"September, 2021",,,,
InuYasha the Movie: Affections Touching Across Time,Japan,2001,TV-PG,100 min,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",2021,September,"September, 2021",,,,
Nailed It,United States,2021,TV-PG,6 Seasons,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",2021,September,"September, 2021",,,,
Naruto Shippuden the Movie: Blood Prison,Japan,2011,TV-14,102 min,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",2021,September,"September, 2021",7.1,"['action', 'comedy', 'horror', 'thriller', 'animation', 'fantasy']","['Junko Takeuchi', 'Mie Sonozaki', 'Masaki Terasoma', 'Chie Nakamura', 'Rikiya Koyama', 'Kazuhiko Inoue', 'Yuichi Nakamura', 'Kengo Kawanishi', 'Kosei Hirota', 'Masako Katsuki', 'Showtaro Morikubo', 'Kentaro Ito', 'Kohsuke Toriumi', 'Kōichi Tōchika', 'Yukari Tamura', 'Hiroshi Naka', 'Hisao Egawa', 'Hideaki Tezuka', 'Hikari Yono', 'Yuka Komatsu', 'Kunihiro Kawamoto', 'Misaki Sekiyama', 'Mitsuaki Hoshino', 'Shinobu Satou', 'Shouzou Sasaki', 'Manabu Sakamaki', 'Taira Kikumoto', 'Takaya Kamikawa']",['Masahiko Murata']
Naruto Shippûden the Movie: Bonds,Japan,2008,TV-PG,93 min,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",2021,September,"September, 2021",,,,
Naruto Shippûden the Movie: The Will of Fire,Japan,2009,TV-PG,96 min,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",2021,September,"September, 2021",,,,
Naruto Shippuden: The Movie,Japan,2007,TV-PG,95 min,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",2021,September,"September, 2021",,,,
Naruto Shippuden: The Movie: The Lost Tower,Japan,2010,TV-14,85 min,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",2021,September,"September, 2021",,,,
Naruto the Movie 2: Legend of the Stone of Gelel,Japan,2005,TV-PG,97 min,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",2021,September,"September, 2021",,,,
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Japan,2006,TV-PG,95 min,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",2021,September,"September, 2021",,,,
Naruto the Movie: Ninja Clash in the Land of Snow,Japan,2004,TV-PG,83 min,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",2021,September,"September, 2021",,,,
Nightbooks,,2021,TV-PG,103 min,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,2021,September,"September, 2021",5.7,"['family', 'fantasy', 'horror']","['Winslow Fegley', 'Lidya Jewett', 'Krysten Ritter', 'Jill Frappier', 'Neil Emmanuel Lu', 'Jess Brown', 'Luxton Handspiker', 'Eden Gjoka', 'Khiyla Aynne', 'Liam Couvion', 'Stephen R. Hart', 'Miley Haik', 'Taylor Belle Puterman', ""Riley O'Donnell"", ""Evan O'Donnell""]",['David Yarovesky']
Numberblocks,United Kingdom,2021,TV-Y,6 Seasons,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",2021,September,"September, 2021",8.6,['animation'],,
Raja Rasoi Aur Anya Kahaniyan,India,2014,TV-G,1 Season,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",2021,September,"September, 2021",,,,
Saved by the Bell,United States,1994,TV-PG,9 Seasons,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",2021,September,"September, 2021",7.1,"['family', 'comedy', 'romance']","['Mark-Paul Gosselaar', 'Mario López', 'Dustin Diamond', 'Lark Voorhies', 'Dennis Haskins']",
Schumacher,,2021,TV-14,113 min,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",2021,September,"September, 2021",7.4,"['sport', 'documentation']","['Michael Schumacher', 'Mick Schumacher', 'Corinna Schumacher', 'Ralf Schumacher', 'Rolf Schumacher', 'Gina Schumacher', 'Jean Todt', 'Bernie Ecclestone', 'Sebastian Vettel', 'Mika Häkkinen', 'Damon Hill', 'Flavio Briatore', 'David Coulthard', 'Willi Weber', 'Luca Cordero di Montezemolo', 'Sabine Kehm', 'Mark Webber', 'Eddie Irvine', 'Piero Ferrari', 'Ross Brawn', 'James Allen', 'Gerhard Noack', 'Gianluca Pilot', 'Richard Williams']","['Vanessa Nöcker', 'Michael Wech', 'Hanns-Bruno Kammertöns']"
Stories by Rabindranath Tagore,India,2015,TV-PG,1 Season,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,2021,September,"September, 2021",8.7,['drama'],,
Too Hot To Handle: Latino,,2021,TV-MA,1 Season,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",2021,September,"September, 2021",,,,
A StoryBots Space Adventure,,2021,TV-Y,13 min,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,2021,September,"September, 2021",,,,
Jack Whitehall: Travels with My Father,United Kingdom,2021,TV-MA,5 Seasons,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",2021,September,"September, 2021",7.6,"['reality', 'documentation', 'comedy', 'european']","['Jack Whitehall', 'Michael Whitehall']",
King of Boys,Nigeria,2018,TV-MA,182 min,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",2021,September,"September, 2021",5.8,"['drama', 'crime']","['Sola Sobowale', 'Remilekun Reminisce Safaru', 'Adesua Etomi', 'Paul Sambo', 'IllBliss', 'Toni Tones', 'Ademola Adedoyin', ""Sani MU'AZU"", 'Jide Kosoko', 'Sharon Ooja', 'Osas Ighodaro', 'Akin Lewis', 'Lami Philips']",['Kemi Adetiba']
